R, 0,  1017
R, 5,  626
R, 10,  503
R, 15,  401
R, 20,  441
R, 25,  386
R, 30,  326
R, 35,  328
R, 40,  342
R, 45,  295
R, 50,  225
R, 55,  318
R, 60,  281
R, 65,  228
R, 70,  242
R, 75,  272
R, 80,  231
R, 85,  192
R, 90,  267
R, 95,  232
R, 100,  175
R, 105,  191
R, 110,  242
R, 115,  211
R, 120,  164
R, 125,  177
R, 130,  230
R, 135,  200
R, 140,  158
R, 145,  166
R, 150,  199
R, 155,  188
R, 160,  153
R, 165,  158
R, 170,  175
R, 175,  179
R, 180,  149
R, 185,  152
R, 190,  161
R, 195,  171
R, 200,  145
R, 205,  147
R, 210,  152
R, 215,  164
R, 220,  142
R, 225,  143
R, 230,  144
R, 235,  154
R, 240,  140
R, 245,  139
R, 250,  139
R, 255,  138
B, 0,  1014
B, 5,  900
B, 10,  893
B, 15,  891
B, 20,  741
B, 25,  818
B, 30,  840
B, 35,  559
B, 40,  763
B, 45,  801
B, 50,  549
B, 55,  715
B, 60,  769
B, 65,  542
B, 70,  669
B, 75,  738
B, 80,  538
B, 85,  614
B, 90,  710
B, 95,  535
B, 100,  522
B, 105,  687
B, 110,  512
B, 115,  487
B, 120,  674
B, 125,  491
B, 130,  463
B, 135,  662
B, 140,  477
B, 145,  457
B, 150,  651
B, 155,  466
B, 160,  452
B, 165,  641
B, 170,  458
B, 175,  447
B, 180,  630
B, 185,  451
B, 190,  443
B, 195,  492
B, 200,  445
B, 205,  439
B, 210,  461
B, 215,  440
B, 220,  436
B, 225,  446
B, 230,  436
B, 235,  433
B, 240,  436
B, 245,  431
B, 250,  430
B, 255,  429
G, 0,  1015
G, 5,  876
G, 10,  805
G, 15,  734
G, 20,  602
G, 25,  715
G, 30,  664
G, 35,  582
G, 40,  669
G, 45,  626
G, 50,  564
G, 55,  464
G, 60,  602
G, 65,  552
G, 70,  439
G, 75,  543
G, 80,  542
G, 85,  474
G, 90,  417
G, 95,  537
G, 100,  484
G, 105,  383
G, 110,  405
G, 115,  508
G, 120,  461
G, 125,  368
G, 130,  382
G, 135,  488
G, 140,  439
G, 145,  357
G, 150,  366
G, 155,  420
G, 160,  422
G, 165,  347
G, 170,  353
G, 175,  373
G, 180,  406
G, 185,  339
G, 190,  342
G, 195,  352
G, 200,  391
G, 205,  332
G, 210,  333
G, 215,  338
G, 220,  374
G, 225,  326
G, 230,  326
G, 235,  326
G, 240,  354
G, 245,  320
G, 250,  320
G, 255,  318
